student_star,student_difficult,comments,gives_good_feedback,caring,respected,participation_matters,clear_grading_criteria,skip_class,amazing_lectures,inspirational,tough_grader,hilarious,get_ready_to_read,lots_of_homework,accessible_outside_class,lecture_heavy,extra_credit,graded_by_few_things,group_projects,test_heavy,so_many_papers,beware_of_pop_quizzes,IsCourseOnline
5.0,3.0,class hard twoinon gene knockout content stimul unlik class actual particip pass section easi offer extra credit everi week funni dude not much say,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,definit go choos prof looney class interest class easi bring note exam dont need rememb lot lot bonu point avail observatori session awesom,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.0,3.0,overal enjoy class assign straightforward interest didnt enjoy video project felt like no one group care enough help,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,3.0,ye possibl get definit work content pretti interest tog get super organ class multipl thing due everi week ton lectur go possibl would avoid class 8 week cours definit alway somethingto class,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,1.0,professor looney great knowledg astronomi explain super easi way elementari class taught class great passion great illustr class definit fun take interest knowledg class wont cover dont hesit ask great teacher,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,looney super funni guy class realli interest wasnt complet blow wasnt bad homeworkobserv session studi bit night exam pull would definit recommend scienc gen ed no text book no final,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,professor looney bomb truli good teacher realli explain materi thoroughli also absolut hilari make laugh everi class would highli recommend cours anyon far sciencelov class help enjoy repeat enjoy scienc,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,professor lesli looney honestli amaz would call first posit experi scienc class addit truli good teach make class interest liter lol almost everi period looney forev,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,1.0,looney beast best prof campu class extrem interest easiest astronomi physic scienc class find,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,homework exam lab could trip expect blowoff class otherwis great looney enthusiast cours full interest content,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.5,2.0,one enthusiast wall professor ever meet grade fair exam arent bad consid use note sheet there lot iclick show class there no book use take class fun interest,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,4.0,sexi boy killer sky one best class ive taken looney kept excit class present effect great humor highli recommend gener onlin quizz tough given multipl chanc exam somewhat hard studi never dri moment great guy great topic go fun ciao,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,excel professor hilari fun good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.0,2.0,love killer sky class he funni allow bring sheet note test even final no textbook use ppt slide alot hw cheat sheet hw quit hard though even ppt slide given get unlimit number tri highest score taken,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.0,4.0,kind knowledg phenomen teacher would recommend class hilari engag intellig class far major yet enjoy class everyday studi astronomi looney fantast,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3.0,1.0,hnonestli say lesli looney reason go class iclick credit cant say ive actual learn anyth class though looney fairli entertain,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,3.0,absolut amaz complet riot wonder professor class never bore someth new taught daili onlin homework breez test arent horribl studi necessari though,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.5,3.0,amaz funnest class semest he know materi alway will help,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,best professor ive far inform clear funni make actual want go class got homework regularli studi testthey arent bad,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.5,1.0,great professor great class recommend take cours physic scienc quantit reason ii cours,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.0,2.0,dr wager great professor expect clear realli want help succeed alway entertain knew talk took hybrid cours would definit recommend,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,2.0,love prof wager she hilari dedic took hybrid block love fast pace not ton work final 5 page paper revis essay mani time want realli want well help much could take everi class would,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,3.0,taken hybrid cours good take teacher especi hybrid cours assign stuff need awar take hybrid class someth due everi time next class cours work easi commit turn time peer review not accept late,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.0,2.0,good teacher took second block class accid lot read class not super necessari lectur fun teacher who excit share english student normal amount homework assign small 5 page paper due final 810,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
2.0,4.0,overal fine professor lot littl thing like not clear assignmentsgrad sometim weird didnt one peer review time dont expect get,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.0,2.0,wager great professor make class live absolut hilari took hybridblock cours long assign time easi complaint lot exampl content polit influenc liber doesnt alway describ assign expect well,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.5,3.0,jan excel job teach basic technic aspect cinema put feministprogress spin thing great professor care class learn new perspect lectur solid grader gave great feedback whenev ask write skill improv take cours,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,2.0,realli enjoy class took hybrid block class fast pace assign submit onlin clear want write will help would take impress teach style,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,4.0,jan great fantast teacher class interest live expect read lot book sourc well live teacher tell love subject teach,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,2.0,she one favorit teacher ive taken actual took last semest like enough thought everyon still know she awesom clear work go class wouldv taken 2010 well offer,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.0,3.0,found professor wager help specif way want write make clear first assign help breviti want chang write style match way like decent professor will help,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
3.5,4.0,took cinema studi love great teacher allot film experi work sharpen write skill one favorit professor campu prepar think outsid box movi,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.0,5.0,troubl differ opinion topic talk wont like long stick lay good want badli student mold cant mold throw away,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.5,4.0,jan wonder teach method best experienc good deal time involv cours like film critic wont mind though subject end not cup tea still enjoy go class assign,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,4.0,jan excel teacher awesom definit organ want class discuss make class fun correct paper end semest portfolio better grade friendli sincerli care student success word caution mandatori attend dont ever late,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.0,3.0,love class jan flexibl openmind want help student learn take class,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,2.0,jan amaz professor highli recommend take english grade easi improv edit write assign much want get better grade,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
5.0,3.0,excel teacher organ encourag class discuss made class fun sever paper help improv write skill could correct paper better grade also friendli genuin interest student success awesom around,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
4.0,3.0,write class fun realli like would let student rewrit paper till got grade want certainli kept grade,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
